Mixture	Neu	Oli	Ast	Mic	End	P-value	Correlation	RMSE
X698_120605_3	0.528948471425017	0.13696114996271	0.243192014538022	0.0849937431198628	0.0059046209543879	0	0.723808430675445	0.691971362937455
X369_120502_3	0.585015782907772	0.111800551437976	0.217020979483439	0.0613572616793401	0.0248054244914726	0	0.586245537341658	0.809851442178346
X568_120521_3	0.187160113325744	0.440689460631974	0.269616611129355	0.0226587954698668	0.0798750194430606	0	0.668048384123614	0.743964273513543
X705_120605_3	0.434026084727182	0.23594874754866	0.227719467585978	0.0949547845593141	0.00735091557886552	0	0.718662762849732	0.700929149086115
X630_120524_3	0.310335729038999	0.367015626327284	0.182846685448958	0.119175830955106	0.0206261282296537	0	0.672139868175539	0.749305435737651
X649_120529_3	0.362550700657886	0.150191182778154	0.316512197884935	0.112460005010242	0.0582859136687835	0	0.699960071516322	0.715497326108735
X697_120605_3	0.366816972829861	0.293351250354329	0.173108120216729	0.0562091951321546	0.110514461466926	0	0.726857016513509	0.718583439398591
X694_120605_3	0.258112845070126	0.264353130294211	0.28000740445202	0.197526620183643	0	0	0.747550225381566	0.665607128996032
X393_120503_3	0.372232571275304	0.167373628435062	0.233152347446295	0.176117933430979	0.0511235194123597	0	0.698647233431947	0.717165510115895
X665_120530_3	0.235176702010639	0.292155224323973	0.298399562622849	0.111380313223955	0.0628881978185843	0	0.691452138934568	0.721963716278131
X711_120531_3	0.388053143632341	0.258412597696292	0.238220077550817	0.0339257325623979	0.0813884485581522	0	0.65587547860877	0.755083673429686
X316_120501_3	0.626343681227805	0.117174012841434	0.137378007884772	0.0749643484415765	0.0441399496044119	0	0.622529240449663	0.78426648268636
X491_120515_3	0.408054111174405	0.265922892126852	0.159075923286137	0.155173775136765	0.0117732982758405	0	0.697384441009094	0.732638268303051
X668_120530_3	0.349366228585261	0.135345127270158	0.33457204733318	0.159027275823967	0.0216893209874336	0	0.795866067251764	0.607348484956111
X420_120507_3	0.292886467230148	0.272153643457188	0.22441760589151	0.210542283421154	0	0	0.72214023512053	0.697089908296577
X671_120530_3	0.352505746938166	0.182026205546159	0.219645636211484	0.176068398748517	0.0697540125556747	0	0.683017981871976	0.73281845820149
X481_120514_3	0.517895491878353	0.170748503505533	0.12483928927352	0.176961486852564	0.00955522849002979	0	0.664979949570597	0.75792398595893
X15_120410_3	0.378201189110883	0.235575919486983	0.207788354330715	0.178434537071419	0	0	0.661133668985391	0.750638108620176
X685_120604_3	0.475413257709989	0.280384193919982	0.1360877591961	0.0854239819918781	0.0226908071820507	0	0.661305026514267	0.763757875898946
X555_120517_3	0.397181093952033	0.158147736770457	0.333486194627162	0.0696263219267533	0.0415586527235949	0	0.794719059198724	0.609668643564629
X66_120417_3	0.581717362639475	0.13644015449031	0.115780805390406	0.156717356147552	0.00934432133225667	0	0.515561786900053	0.854219547871062
X462_120514_3	0.467109162719292	0.139573193581779	0.151583024454403	0.169610796729627	0.0721238225148982	0	0.593390355479187	0.804903917181602
X643_120524_3	0.375326806733713	0.253803256375056	0.134764721068699	0.141832623135387	0.0942725926871446	0	0.685381771286985	0.754821926294732
X679_120604_3	0.558102079368299	0.191295428967124	0.159126123638797	0.0892601905749373	0.00221617745084267	0	0.623853278330214	0.782076497965709
